pieces_left,manhattan_dist,move_count,completely_blocked_piece_count
4.0,2.0,1.0,1.0
5.161882,-8.466002,5.206409,0.25695
5.161903,-8.517313,5.275493,0.280815
5.161995,-8.674014,5.304022,0.340684
5.162028,-8.620739,5.421422,0.380405
5.162057,-8.634286,5.421419,0.380398
5.162061,-8.695669,5.354968,0.480207
5.162079,-8.804786,5.353942,0.506178
5.162092,-8.091631,5.900987,0.535226
5.162307,-8.208421,5.918952,0.571431
5.162358,-8.349526,5.876819,0.585528
5.162242,-8.483896,5.840628,0.59779
5.16227,-8.58861,5.817167,0.614177
5.162277,-8.728667,5.839685,0.671103
5.162284,-8.939893,5.779682,0.740252
5.162341,-9.490916,5.416053,0.784933
5.162371,-9.539526,5.418303,0.800981
5.162363,-9.586687,5.429925,0.818101
5.162401,-9.626383,4.770985,1.172664
5.162278,-9.635934,4.96249,1.173334
5.164057,-9.680082,5.136156,1.174374
